구분,죄종,발생검거,검거
중부,살인,발생,4
중부,살인,검거,5
중부,강도,발생,9
중부,강도,검거,8
중부,강간,발생,100
중부,강간,검거,73
중부,절도,발생,1497
중부,절도,검거,421
중부,폭력,발생,1580
중부,폭력,검거,1361
종로,살인,발생,2
종로,살인,검거,1
종로,강도,발생,5
종로,강도,검거,3
종로,강간,발생,93
종로,강간,검거,77
종로,절도,발생,1036
종로,절도,검거,344
종로,폭력,발생,1279
종로,폭력,검거,1079
남대문,살인,발생,1
남대문,살인,검거,1
남대문,강도,발생,5
남대문,강도,검거,4
남대문,강간,발생,68
남대문,강간,검거,60
남대문,절도,발생,892
남대문,절도,검거,353
남대문,폭력,발생,1116
남대문,폭력,검거,984
서대문,살인,발생,7
서대문,살인,검거,8
서대문,강도,발생,15
서대문,강도,검거,18
서대문,강간,발생,191
서대문,강간,검거,173
서대문,절도,발생,2039
서대문,절도,검거,777
서대문,폭력,발생,2120
서대문,폭력,검거,1715
혜화,살인,발생,2
혜화,살인,검거,2
혜화,강도,발생,10
혜화,강도,검거,12
혜화,강간,발생,70
혜화,강간,검거,51
혜화,절도,발생,1264
혜화,절도,검거,610
혜화,폭력,발생,1342
혜화,폭력,검거,1164
용산,살인,발생,7
용산,살인,검거,8
용산,강도,발생,32
용산,강도,검거,27
용산,강간,발생,165
용산,강간,검거,143
용산,절도,발생,1517
용산,절도,검거,602
용산,폭력,발생,2268
용산,폭력,검거,1894
성북,살인,발생,5
성북,살인,검거,4
성북,강도,발생,8
성북,강도,검거,4
성북,강간,발생,105
성북,강간,검거,82
성북,절도,발생,1226
성북,절도,검거,364
성북,폭력,발생,1270
성북,폭력,검거,1056
동대문,살인,발생,11
동대문,살인,검거,10
동대문,강도,발생,26
동대문,강도,검거,15
동대문,강간,발생,166
동대문,강간,검거,125
동대문,절도,발생,2200
동대문,절도,검거,553
동대문,폭력,발생,2779
동대문,폭력,검거,2354
마포,살인,발생,4
마포,살인,검거,4
마포,강도,발생,16
마포,강도,검거,12
마포,강간,발생,224
마포,강간,검거,161
마포,절도,발생,2911
마포,절도,검거,633
마포,폭력,발생,2957
마포,폭력,검거,2359
영등포,살인,발생,18
영등포,살인,검거,18
영등포,강도,발생,27
영등포,강도,검거,19
영등포,강간,발생,237
영등포,강간,검거,199
영등포,절도,발생,3052
영등포,절도,검거,776
영등포,폭력,발생,4049
영등포,폭력,검거,3358
성동,살인,발생,3
성동,살인,검거,3
성동,강도,발생,11
성동,강도,검거,11
성동,강간,발생,114
성동,강간,검거,84
성동,절도,발생,1743
성동,절도,검거,545
성동,폭력,발생,1715
성동,폭력,검거,1401
동작,살인,발생,2
동작,살인,검거,2
동작,강도,발생,15
동작,강도,검거,5
동작,강간,발생,170
동작,강간,검거,112
동작,절도,발생,2012
동작,절도,검거,470
동작,폭력,발생,1915
동작,폭력,검거,1582
광진,살인,발생,6
광진,살인,검거,7
광진,강도,발생,27
광진,강도,검거,28
광진,강간,발생,246
광진,강간,검거,198
광진,절도,발생,2904
광진,절도,검거,1258
광진,폭력,발생,3038
광진,폭력,검거,2442
서부,살인,발생,3
서부,살인,검거,3
서부,강도,발생,7
서부,강도,검거,6
서부,강간,발생,76
서부,강간,검거,71
서부,절도,발생,954
서부,절도,검거,376
서부,폭력,발생,1246
서부,폭력,검거,1050
강북,살인,발생,3
강북,살인,검거,3
강북,강도,발생,23
강북,강도,검거,23
강북,강간,발생,153
강북,강간,검거,126
강북,절도,발생,1362
강북,절도,검거,497
강북,폭력,발생,2727
강북,폭력,검거,2413
금천,살인,발생,8
금천,살인,검거,7
금천,강도,발생,26
금천,강도,검거,23
금천,강간,발생,127
금천,강간,검거,122
금천,절도,발생,1656
금천,절도,검거,702
금천,폭력,발생,2293
금천,폭력,검거,1928
중랑,살인,발생,9
중랑,살인,검거,9
중랑,강도,발생,32
중랑,강도,검거,29
중랑,강간,발생,185
중랑,강간,검거,144
중랑,절도,발생,2169
중랑,절도,검거,705
중랑,폭력,발생,3483
중랑,폭력,검거,2936
강남,살인,발생,6
강남,살인,검거,4
강남,강도,발생,27
강남,강도,검거,18
강남,강간,발생,255
강남,강간,검거,164
강남,절도,발생,2845
강남,절도,검거,793
강남,폭력,발생,3128
강남,폭력,검거,2572
관악,살인,발생,7
관악,살인,검거,7
관악,강도,발생,43
관악,강도,검거,28
관악,강간,발생,355
관악,강간,검거,237
관악,절도,발생,3067
관악,절도,검거,854
관악,폭력,발생,3420
관악,폭력,검거,2757
강서,살인,발생,15
강서,살인,검거,14
강서,강도,발생,35
강서,강도,검거,32
강서,강간,발생,207
강서,강간,검거,159
강서,절도,발생,2825
강서,절도,검거,1022
강서,폭력,발생,3056
강서,폭력,검거,2472
강동,살인,발생,5
강동,살인,검거,4
강동,강도,발생,21
강동,강도,검거,19
강동,강간,발생,181
강동,강간,검거,135
강동,절도,발생,2531
강동,절도,검거,758
강동,폭력,발생,2871
강동,폭력,검거,2363
